start,destination,transport_mode,distance,duration,cost,main_surface,surface_stat
"25.808093,112.271926","112.25664,25.94996",驾车,49100.30434662518,5892.0365215950205,24.55015217331259,unknown,{'unknown': 53}
"25.808093,112.271926","112.25664,25.94996",骑行,49100.30434662518,11784.073043190041,0.6137538043328148,unknown,{'unknown': 57}
"25.808093,112.271926","112.25664,25.94996",步行,49061.31534949574,35324.14705163693,0.0,unknown,{'unknown': 55}
"25.808093,112.271926","112.25664,25.94996",驾车,49100.30434662518,5892.0365215950205,24.55015217331259,unknown,{'unknown': 53}
"25.808093,112.271926","112.25664,25.94996",骑行,49100.30434662518,11784.073043190041,0.6137538043328148,unknown,{'unknown': 57}
"25.808093,112.271926","112.25664,25.94996",步行,49061.31534949574,35324.14705163693,0.0,unknown,{'unknown': 55}
